OrderID,CustomerID,SKU,Description,Cost,Year_Purchase
202213,1313,ENT-48-10F,Enterprise Switch 10GigE SFP+ 48 port,152,2021
202214,1314,ADV-48-10F,Advanced Switch 10 GigE Copper/Fiber 44 port copper 4 port fiber,235,2020
202215,1315,ENT-24-10F,Enterprise Switch 10GigE SFP+ 24 Port,95,2021
202216,1316,BAS-48-1 C,Basic Switch 10/100/1000 BaseT 48 port,202,2018
202217,1317,BAS-48-1 C,Basic Switch 10/100/1000 BaseT 48 port,296,2019
202218,1318,BAS-08-1 C,Basic Switch  10/100/1000 BaseT 8 port,281,2019
202219,1319,ENT-48-40F,Enterprise Switch 40GigE SFP+ 48 port ,226,2021
202220,1320,ADV-24-10C,Advanced Switch 10GigE Copper 24 port,72,2019
202221,1321,ENT-48-10F,Enterprise Switch 10GigE SFP+ 48 port,262,2018
202222,1322,ADV-48-10F,Advanced Switch 10 GigE Copper/Fiber 44 port copper 4 port fiber,37,2018
202223,1323,ENT-24-10F,Enterprise Switch 10GigE SFP+ 24 Port,281,2021
202224,1324,BAS-48-1 C,Basic Switch 10/100/1000 BaseT 48 port,291,2021
202225,1325,ENT-48-40F,Enterprise Switch 40GigE SFP+ 48 port ,266,2019
202226,1326,ENT-24-40F,Enterprise Switch 40GigE SFP+ 24 port ,297,2019
202227,1327,BAS-48-1 C,Basic Switch 10/100/1000 BaseT 48 port,179,2018
202228,1328,BAS-08-1 C,Basic Switch  10/100/1000 BaseT 8 port,23,2019
202229,1329,ENT-48-40F,Enterprise Switch 40GigE SFP+ 48 port ,135,2019
202230,1330,ADV-24-10C,Advanced Switch 10GigE Copper 24 port,211,2019
202231,1331,ENT-48-10F,Enterprise Switch 10GigE SFP+ 48 port,279,2019
202232,1332,ADV-48-10F,Advanced Switch 10 GigE Copper/Fiber 44 port copper 4 port fiber,37,2019
202233,1333,ENT-24-10F,Enterprise Switch 10GigE SFP+ 24 Port,174,2021
202234,1334,BAS-48-1 C,Basic Switch 10/100/1000 BaseT 48 port,188,2020
202235,1335,BAS-48-1 C,Basic Switch 10/100/1000 BaseT 48 port,9,2021
202236,1336,BAS-08-1 C,Basic Switch  10/100/1000 BaseT 8 port,78,2020
202237,1337,ENT-48-40F,Enterprise Switch 40GigE SFP+ 48 port ,20,2018
202238,1338,ADV-24-10C,Advanced Switch 10GigE Copper 24 port,45,2019
202239,1339,ENT-48-10F,Enterprise Switch 10GigE SFP+ 48 port,237,2019
202240,1340,ADV-48-10F,Advanced Switch 10 GigE Copper/Fiber 44 port copper 4 port fiber,76,2018
202241,1341,ENT-24-10F,Enterprise Switch 10GigE SFP+ 24 Port,288,2020
202242,1342,BAS-48-1 C,Basic Switch 10/100/1000 BaseT 48 port,259,2021
202243,1343,ENT-48-40F,Enterprise Switch 40GigE SFP+ 48 port ,30,2019
202244,1344,ENT-24-40F,Enterprise Switch 40GigE SFP+ 24 port ,112,2020
202245,1345,BAS-48-1 C,Basic Switch 10/100/1000 BaseT 48 port,13,2019
202246,1346,BAS-08-1 C,Basic Switch  10/100/1000 BaseT 8 port,171,2018
202247,1347,ENT-48-40F,Enterprise Switch 40GigE SFP+ 48 port ,16,2018
202248,1348,ADV-24-10C,Advanced Switch 10GigE Copper 24 port,277,2021
202249,1349,ENT-48-10F,Enterprise Switch 10GigE SFP+ 48 port,139,2019
202250,1350,ADV-48-10F,Advanced Switch 10 GigE Copper/Fiber 44 port copper 4 port fiber,266,2021
202251,1351,ENT-24-10F,Enterprise Switch 10GigE SFP+ 24 Port,215,2021
202252,1352,BAS-48-1 C,Basic Switch 10/100/1000 BaseT 48 port,262,2019
202253,1353,BAS-48-1 C,Basic Switch 10/100/1000 BaseT 48 port,277,2018
202254,1354,BAS-08-1 C,Basic Switch  10/100/1000 BaseT 8 port,279,2019
202255,1355,ENT-48-40F,Enterprise Switch 40GigE SFP+ 48 port ,81,2020
202256,1356,ADV-24-10C,Advanced Switch 10GigE Copper 24 port,57,2019
202257,1357,ENT-48-10F,Enterprise Switch 10GigE SFP+ 48 port,38,2021
202258,1358,ADV-48-10F,Advanced Switch 10 GigE Copper/Fiber 44 port copper 4 port fiber,60,2020
202259,1359,ENT-24-10F,Enterprise Switch 10GigE SFP+ 24 Port,146,2020
202260,1360,BAS-48-1 C,Basic Switch 10/100/1000 BaseT 48 port,167,2020
202261,1361,ENT-48-40F,Enterprise Switch 40GigE SFP+ 48 port ,61,2018
202262,1362,ENT-24-40F,Enterprise Switch 40GigE SFP+ 24 port ,60,2020
202263,1363,BAS-48-1 C,Basic Switch 10/100/1000 BaseT 48 port,154,2020
202264,1364,BAS-08-1 C,Basic Switch  10/100/1000 BaseT 8 port,93,2021
202265,1365,ENT-48-40F,Enterprise Switch 40GigE SFP+ 48 port ,216,2019
202266,1366,ADV-24-10C,Advanced Switch 10GigE Copper 24 port,241,2019
202267,1367,ENT-48-10F,Enterprise Switch 10GigE SFP+ 48 port,126,2019
202268,1368,ADV-48-10F,Advanced Switch 10 GigE Copper/Fiber 44 port copper 4 port fiber,101,2018
202269,1369,ENT-24-10F,Enterprise Switch 10GigE SFP+ 24 Port,199,2019
202270,1370,BAS-48-1 C,Basic Switch 10/100/1000 BaseT 48 port,227,2019
202271,1371,BAS-48-1 C,Basic Switch 10/100/1000 BaseT 48 port,234,2018
202272,1372,BAS-08-1 C,Basic Switch  10/100/1000 BaseT 8 port,73,2020
202273,1373,ENT-48-40F,Enterprise Switch 40GigE SFP+ 48 port ,253,2019
202274,1374,ADV-24-10C,Advanced Switch 10GigE Copper 24 port,253,2021
202275,1375,ENT-48-10F,Enterprise Switch 10GigE SFP+ 48 port,212,2018
202276,1376,ADV-48-10F,Advanced Switch 10 GigE Copper/Fiber 44 port copper 4 port fiber,38,2020
202277,1377,ENT-24-10F,Enterprise Switch 10GigE SFP+ 24 Port,126,2018
202278,1378,BAS-48-1 C,Basic Switch 10/100/1000 BaseT 48 port,104,2021
202279,1379,ENT-48-40F,Enterprise Switch 40GigE SFP+ 48 port ,118,2020
202280,1380,ENT-24-40F,Enterprise Switch 40GigE SFP+ 24 port ,13,2018
202281,1381,BAS-48-1 C,Basic Switch 10/100/1000 BaseT 48 port,144,2021
202282,1382,BAS-08-1 C,Basic Switch  10/100/1000 BaseT 8 port,279,2021
202283,1383,ENT-48-40F,Enterprise Switch 40GigE SFP+ 48 port ,294,2021
202284,1384,ADV-24-10C,Advanced Switch 10GigE Copper 24 port,126,2021
202285,1385,ENT-48-10F,Enterprise Switch 10GigE SFP+ 48 port,59,2020
202286,1386,ADV-48-10F,Advanced Switch 10 GigE Copper/Fiber 44 port copper 4 port fiber,281,2021
202287,1387,ENT-24-10F,Enterprise Switch 10GigE SFP+ 24 Port,282,2020
202288,1388,BAS-48-1 C,Basic Switch 10/100/1000 BaseT 48 port,95,2021
202289,1389,BAS-48-1 C,Basic Switch 10/100/1000 BaseT 48 port,254,2021
202290,1390,BAS-08-1 C,Basic Switch  10/100/1000 BaseT 8 port,126,2021
202291,1391,ENT-48-40F,Enterprise Switch 40GigE SFP+ 48 port ,198,2021
202292,1392,ADV-24-10C,Advanced Switch 10GigE Copper 24 port,41,2018
202293,1393,ENT-48-10F,Enterprise Switch 10GigE SFP+ 48 port,207,2021
202294,1394,ADV-48-10F,Advanced Switch 10 GigE Copper/Fiber 44 port copper 4 port fiber,226,2021
202295,1395,ENT-24-10F,Enterprise Switch 10GigE SFP+ 24 Port,66,2018
202296,1396,BAS-48-1 C,Basic Switch 10/100/1000 BaseT 48 port,297,2019
202297,1397,ENT-48-40F,Enterprise Switch 40GigE SFP+ 48 port ,171,2021
202298,1398,ENT-24-40F,Enterprise Switch 40GigE SFP+ 24 port ,81,2019
202299,1399,BAS-48-1 C,Basic Switch 10/100/1000 BaseT 48 port,132,2018
202300,1400,BAS-08-1 C,Basic Switch  10/100/1000 BaseT 8 port,154,2021
202301,1401,ENT-48-40F,Enterprise Switch 40GigE SFP+ 48 port ,69,2018
202302,1402,ADV-24-10C,Advanced Switch 10GigE Copper 24 port,107,2021
202303,1403,ENT-48-10F,Enterprise Switch 10GigE SFP+ 48 port,207,2018
202304,1404,ADV-48-10F,Advanced Switch 10 GigE Copper/Fiber 44 port copper 4 port fiber,104,2021
202305,1405,ENT-24-10F,Enterprise Switch 10GigE SFP+ 24 Port,188,2018
202306,1406,BAS-48-1 C,Basic Switch 10/100/1000 BaseT 48 port,245,2021
202307,1407,BAS-48-1 C,Basic Switch 10/100/1000 BaseT 48 port,266,2020
202308,1408,BAS-08-1 C,Basic Switch  10/100/1000 BaseT 8 port,80,2018
202309,1409,ENT-48-40F,Enterprise Switch 40GigE SFP+ 48 port ,130,2021
202310,1410,ADV-24-10C,Advanced Switch 10GigE Copper 24 port,138,2020
202311,1411,ENT-48-10F,Enterprise Switch 10GigE SFP+ 48 port,138,2020
202312,1412,ADV-48-10F,Advanced Switch 10 GigE Copper/Fiber 44 port copper 4 port fiber,134,2019
202313,1413,ENT-24-10F,Enterprise Switch 10GigE SFP+ 24 Port,185,2021
202314,1414,BAS-48-1 C,Basic Switch 10/100/1000 BaseT 48 port,78,2020
202315,1415,ENT-48-40F,Enterprise Switch 40GigE SFP+ 48 port ,2,2021
202316,1416,ENT-24-40F,Enterprise Switch 40GigE SFP+ 24 port ,165,2021
202317,1417,BAS-48-1 C,Basic Switch 10/100/1000 BaseT 48 port,283,2021
202318,1418,BAS-08-1 C,Basic Switch  10/100/1000 BaseT 8 port,58,2020
202319,1419,ENT-48-40F,Enterprise Switch 40GigE SFP+ 48 port ,66,2019
202320,1420,ADV-24-10C,Advanced Switch 10GigE Copper 24 port,207,2018
202321,1421,ENT-48-10F,Enterprise Switch 10GigE SFP+ 48 port,51,2019
202322,1422,ADV-48-10F,Advanced Switch 10 GigE Copper/Fiber 44 port copper 4 port fiber,129,2020
202323,1423,ENT-24-10F,Enterprise Switch 10GigE SFP+ 24 Port,5,2021
202324,1424,BAS-48-1 C,Basic Switch 10/100/1000 BaseT 48 port,219,2020
202325,1425,BAS-48-1 C,Basic Switch 10/100/1000 BaseT 48 port,4,2021
202326,1426,BAS-08-1 C,Basic Switch  10/100/1000 BaseT 8 port,83,2020
202327,1427,ENT-48-40F,Enterprise Switch 40GigE SFP+ 48 port ,19,2020
202328,1428,ADV-24-10C,Advanced Switch 10GigE Copper 24 port,181,2018
202329,1429,ENT-48-10F,Enterprise Switch 10GigE SFP+ 48 port,217,2021
202330,1430,ADV-48-10F,Advanced Switch 10 GigE Copper/Fiber 44 port copper 4 port fiber,227,2018
202331,1431,ENT-24-10F,Enterprise Switch 10GigE SFP+ 24 Port,246,2019
202332,1432,BAS-48-1 C,Basic Switch 10/100/1000 BaseT 48 port,290,2018
202333,1433,ENT-48-40F,Enterprise Switch 40GigE SFP+ 48 port ,153,2019
202334,1434,ENT-24-40F,Enterprise Switch 40GigE SFP+ 24 port ,17,2020
202335,1435,BAS-48-1 C,Basic Switch 10/100/1000 BaseT 48 port,35,2020
202336,1436,BAS-08-1 C,Basic Switch  10/100/1000 BaseT 8 port,111,2021
202337,1437,ENT-48-40F,Enterprise Switch 40GigE SFP+ 48 port ,297,2018
202338,1438,ADV-24-10C,Advanced Switch 10GigE Copper 24 port,171,2021
202339,1439,ENT-48-10F,Enterprise Switch 10GigE SFP+ 48 port,277,2021
202340,1440,ADV-48-10F,Advanced Switch 10 GigE Copper/Fiber 44 port copper 4 port fiber,193,2019
202341,1441,ENT-24-10F,Enterprise Switch 10GigE SFP+ 24 Port,103,2018
202342,1442,BAS-48-1 C,Basic Switch 10/100/1000 BaseT 48 port,249,2020
202343,1443,BAS-48-1 C,Basic Switch 10/100/1000 BaseT 48 port,100,2019
202344,1444,BAS-08-1 C,Basic Switch  10/100/1000 BaseT 8 port,52,2020
202345,1445,ENT-48-40F,Enterprise Switch 40GigE SFP+ 48 port ,256,2021
202346,1446,ADV-24-10C,Advanced Switch 10GigE Copper 24 port,207,2021
202347,1447,ENT-48-10F,Enterprise Switch 10GigE SFP+ 48 port,9,2020
202348,1448,ADV-48-10F,Advanced Switch 10 GigE Copper/Fiber 44 port copper 4 port fiber,34,2018
202349,1449,ENT-24-10F,Enterprise Switch 10GigE SFP+ 24 Port,114,2021
202350,1450,BAS-48-1 C,Basic Switch 10/100/1000 BaseT 48 port,126,2021
202351,1451,ENT-48-40F,Enterprise Switch 40GigE SFP+ 48 port ,204,2019
202352,1452,ENT-24-40F,Enterprise Switch 40GigE SFP+ 24 port ,59,2018
202353,1453,BAS-48-1 C,Basic Switch 10/100/1000 BaseT 48 port,37,2020
202354,1454,BAS-08-1 C,Basic Switch  10/100/1000 BaseT 8 port,48,2018
202355,1455,ENT-48-40F,Enterprise Switch 40GigE SFP+ 48 port ,262,2019
202356,1456,ADV-24-10C,Advanced Switch 10GigE Copper 24 port,39,2021
202357,1457,ENT-48-10F,Enterprise Switch 10GigE SFP+ 48 port,147,2019
202358,1458,ADV-48-10F,Advanced Switch 10 GigE Copper/Fiber 44 port copper 4 port fiber,267,2020
202359,1459,ENT-24-10F,Enterprise Switch 10GigE SFP+ 24 Port,235,2019
202360,1460,BAS-48-1 C,Basic Switch 10/100/1000 BaseT 48 port,119,2018
202361,1461,BAS-48-1 C,Basic Switch 10/100/1000 BaseT 48 port,148,2018
202362,1462,BAS-08-1 C,Basic Switch  10/100/1000 BaseT 8 port,190,2019
202363,1463,ENT-48-40F,Enterprise Switch 40GigE SFP+ 48 port ,64,2019
202364,1464,ADV-24-10C,Advanced Switch 10GigE Copper 24 port,110,2019
202365,1465,ENT-48-10F,Enterprise Switch 10GigE SFP+ 48 port,298,2018
202366,1466,ADV-48-10F,Advanced Switch 10 GigE Copper/Fiber 44 port copper 4 port fiber,172,2020
202367,1467,ENT-24-10F,Enterprise Switch 10GigE SFP+ 24 Port,152,2019
202368,1468,BAS-48-1 C,Basic Switch 10/100/1000 BaseT 48 port,193,2020
202369,1469,ENT-48-40F,Enterprise Switch 40GigE SFP+ 48 port ,128,2020
202370,1470,ENT-24-40F,Enterprise Switch 40GigE SFP+ 24 port ,265,2019
202371,1471,BAS-48-1 C,Basic Switch 10/100/1000 BaseT 48 port,25,2021
202372,1472,BAS-08-1 C,Basic Switch  10/100/1000 BaseT 8 port,121,2021
202373,1473,ENT-48-40F,Enterprise Switch 40GigE SFP+ 48 port ,288,2020
202374,1474,ADV-24-10C,Advanced Switch 10GigE Copper 24 port,96,2021
202375,1475,ENT-48-10F,Enterprise Switch 10GigE SFP+ 48 port,32,2018
202376,1476,ADV-48-10F,Advanced Switch 10 GigE Copper/Fiber 44 port copper 4 port fiber,204,2021
202377,1477,ENT-24-10F,Enterprise Switch 10GigE SFP+ 24 Port,211,2021
202378,1478,BAS-48-1 C,Basic Switch 10/100/1000 BaseT 48 port,76,2021
202379,1479,BAS-48-1 C,Basic Switch 10/100/1000 BaseT 48 port,209,2020
202380,1480,BAS-08-1 C,Basic Switch  10/100/1000 BaseT 8 port,137,2021
202381,1481,ENT-48-40F,Enterprise Switch 40GigE SFP+ 48 port ,290,2020
202382,1482,ADV-24-10C,Advanced Switch 10GigE Copper 24 port,176,2019
202383,1483,ENT-48-10F,Enterprise Switch 10GigE SFP+ 48 port,162,2019
202384,1484,ADV-48-10F,Advanced Switch 10 GigE Copper/Fiber 44 port copper 4 port fiber,271,2018
202385,1485,ENT-24-10F,Enterprise Switch 10GigE SFP+ 24 Port,143,2018
202386,1486,BAS-48-1 C,Basic Switch 10/100/1000 BaseT 48 port,4,2020
202387,1487,ENT-48-40F,Enterprise Switch 40GigE SFP+ 48 port ,201,2020
202388,1488,ENT-24-40F,Enterprise Switch 40GigE SFP+ 24 port ,204,2020
202389,1489,BAS-48-1 C,Basic Switch 10/100/1000 BaseT 48 port,170,2018
202390,1490,BAS-08-1 C,Basic Switch  10/100/1000 BaseT 8 port,180,2021
202391,1491,ENT-48-40F,Enterprise Switch 40GigE SFP+ 48 port ,87,2020
202392,1492,ADV-24-10C,Advanced Switch 10GigE Copper 24 port,290,2018
202393,1493,ENT-48-10F,Enterprise Switch 10GigE SFP+ 48 port,189,2019
202394,1494,ADV-48-10F,Advanced Switch 10 GigE Copper/Fiber 44 port copper 4 port fiber,186,2018
202395,1495,ENT-24-10F,Enterprise Switch 10GigE SFP+ 24 Port,172,2020
202396,1496,BAS-48-1 C,Basic Switch 10/100/1000 BaseT 48 port,77,2019
202397,1497,BAS-48-1 C,Basic Switch 10/100/1000 BaseT 48 port,218,2018
202398,1498,BAS-08-1 C,Basic Switch  10/100/1000 BaseT 8 port,279,2019
202399,1499,ENT-48-40F,Enterprise Switch 40GigE SFP+ 48 port ,211,2020
